epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2113,1.42905,2.01624,1.59678,0.64114,0.6295,0.6173,0.2517,1.82432,2.38685,2.5065,0.000656863,0.000656863,0.000656863
2,58.2137,1.45092,1.68028,1.59234,0.52606,0.60738,0.55383,0.24346,1.72365,2.54619,2.26157,0.00129732,0.00129732,0.00129732
3,75.6657,1.51983,1.56409,1.6451,0.63263,0.63423,0.61528,0.28602,1.69458,1.55937,2.0858,0.00191138,0.00191138,0.00191138
4,92.3227,1.50604,1.48041,1.65058,0.33239,0.47987,0.31269,0.12241,2.05811,1.99052,2.37689,0.0018812,0.0018812,0.0018812
5,108.856,1.50555,1.39192,1.61474,0.52012,0.5604,0.46237,0.20701,1.78279,1.97497,2.21958,0.0018416,0.0018416,0.0018416
6,125.027,1.44211,1.26895,1.58946,0.69386,0.75294,0.77236,0.37187,1.6443,1.38874,2.01632,0.001802,0.001802,0.001802
7,142.307,1.43176,1.21089,1.57376,0.85683,0.70805,0.80776,0.4572,1.49808,1.25322,1.83813,0.0017624,0.0017624,0.0017624
8,160.939,1.39305,1.15023,1.54105,0.79517,0.73154,0.78602,0.3856,1.68022,1.21815,1.93343,0.0017228,0.0017228,0.0017228
9,178.067,1.36807,1.12845,1.52395,0.79353,0.72148,0.76937,0.43421,1.46869,1.15577,1.77696,0.0016832,0.0016832,0.0016832
10,194.596,1.34595,1.08092,1.51425,0.87913,0.85425,0.89369,0.5295,1.37735,0.91732,1.68379,0.0016436,0.0016436,0.0016436
11,212.057,1.32206,1.03318,1.47921,0.93264,0.78859,0.87601,0.53607,1.329,0.94861,1.66111,0.001604,0.001604,0.001604
12,233.722,1.31849,1.01109,1.46791,0.87186,0.79195,0.86991,0.51113,1.3075,0.96197,1.64316,0.0015644,0.0015644,0.0015644
13,250.967,1.29162,0.97729,1.44829,0.89862,0.84564,0.90041,0.54889,1.29045,0.8593,1.61564,0.0015248,0.0015248,0.0015248
14,269.38,1.29948,0.94805,1.45151,0.85622,0.83931,0.88163,0.54115,1.33649,0.84325,1.66031,0.0014852,0.0014852,0.0014852
15,287.169,1.28936,0.93597,1.44263,0.9262,0.84234,0.8993,0.54256,1.29273,0.82645,1.66364,0.0014456,0.0014456,0.0014456
16,305.249,1.26417,0.93255,1.42552,0.95265,0.8255,0.89725,0.5583,1.31668,0.87986,1.6415,0.001406,0.001406,0.001406
17,323.155,1.25131,0.8839,1.41633,0.87051,0.86913,0.90769,0.54057,1.33099,0.81302,1.66743,0.0013664,0.0013664,0.0013664
18,342.638,1.22786,0.89073,1.40766,0.95334,0.86242,0.92883,0.60086,1.22818,0.70404,1.55409,0.0013268,0.0013268,0.0013268
19,361.364,1.21656,0.86558,1.40593,0.93639,0.88915,0.92526,0.61094,1.17419,0.7265,1.49108,0.0012872,0.0012872,0.0012872
20,379.718,1.18886,0.8361,1.37527,0.92021,0.88926,0.92284,0.59144,1.25022,0.72016,1.57941,0.0012476,0.0012476,0.0012476
21,400.495,1.1905,0.82495,1.37803,0.9184,0.86865,0.92714,0.60559,1.20926,0.73098,1.5622,0.001208,0.001208,0.001208
22,418.478,1.16985,0.83532,1.36831,0.94769,0.87919,0.92862,0.59781,1.17984,0.74469,1.52626,0.0011684,0.0011684,0.0011684
23,437.105,1.13996,0.77151,1.34901,0.92113,0.90147,0.93588,0.60783,1.22027,0.67298,1.52978,0.0011288,0.0011288,0.0011288
24,457.52,1.16119,0.77357,1.35802,0.93882,0.88255,0.92425,0.59887,1.24136,0.6881,1.5579,0.0010892,0.0010892,0.0010892
25,476.368,1.16497,0.80687,1.36817,0.90659,0.9094,0.93197,0.61703,1.1754,0.69002,1.49423,0.0010496,0.0010496,0.0010496
26,494.972,1.14356,0.77759,1.34891,0.9301,0.893,0.92442,0.62861,1.18594,0.63831,1.50014,0.00101,0.00101,0.00101
27,513.052,1.11923,0.76059,1.32208,0.92179,0.90966,0.94352,0.63479,1.14294,0.64437,1.46733,0.0009704,0.0009704,0.0009704
28,534.734,1.09972,0.7324,1.31533,0.94646,0.88982,0.95022,0.63351,1.16704,0.64596,1.48544,0.0009308,0.0009308,0.0009308
29,553.313,1.12688,0.72784,1.32526,0.94199,0.86913,0.93254,0.6349,1.14582,0.6396,1.46536,0.0008912,0.0008912,0.0008912
30,571.116,1.06944,0.7009,1.3031,0.95558,0.86627,0.9344,0.63492,1.15401,0.60439,1.48125,0.0008516,0.0008516,0.0008516
31,588.237,1.07593,0.71202,1.30436,0.9601,0.88826,0.94292,0.63588,1.15117,0.60715,1.46848,0.000812,0.000812,0.000812
32,607.982,1.07493,0.70184,1.312,0.9627,0.87584,0.94156,0.62476,1.1768,0.60647,1.49484,0.0007724,0.0007724,0.0007724
33,625.402,1.03418,0.63958,1.27111,0.96408,0.90072,0.9523,0.64611,1.13995,0.58583,1.44705,0.0007328,0.0007328,0.0007328
34,644.509,1.04424,0.65063,1.2737,0.93506,0.89597,0.93417,0.6498,1.10256,0.55927,1.43486,0.0006932,0.0006932,0.0006932
35,662.638,1.02935,0.66088,1.27018,0.95368,0.89814,0.94174,0.65582,1.11447,0.56373,1.43765,0.0006536,0.0006536,0.0006536
36,681.714,1.03077,0.64856,1.26164,0.96006,0.88926,0.94365,0.62818,1.16401,0.57495,1.51088,0.000614,0.000614,0.000614
37,701.451,1.02231,0.63919,1.24514,0.92575,0.92053,0.94504,0.65773,1.1382,0.56104,1.47053,0.0005744,0.0005744,0.0005744
38,719.131,1.00035,0.61705,1.2511,0.97125,0.90695,0.95192,0.64393,1.13134,0.57604,1.44244,0.0005348,0.0005348,0.0005348
39,736.494,0.99776,0.62419,1.25432,0.92559,0.92953,0.95402,0.65205,1.12352,0.54989,1.44874,0.0004952,0.0004952,0.0004952
40,754.676,0.99366,0.60646,1.25272,0.95128,0.93289,0.95817,0.6497,1.13455,0.54632,1.47538,0.0004556,0.0004556,0.0004556
41,775.417,0.87786,0.512,1.23478,0.95318,0.91275,0.95177,0.668,1.07429,0.54894,1.42524,0.000416,0.000416,0.000416
42,795.824,0.87156,0.47905,1.24025,0.95785,0.91503,0.95777,0.66608,1.09688,0.53739,1.41983,0.0003764,0.0003764,0.0003764
43,817.714,0.83994,0.44423,1.19637,0.95997,0.91946,0.95496,0.65822,1.09966,0.53268,1.4373,0.0003368,0.0003368,0.0003368
44,836.189,0.8291,0.43467,1.19657,0.94458,0.91518,0.95677,0.67534,1.09235,0.51125,1.42761,0.0002972,0.0002972,0.0002972
45,854.233,0.80273,0.42119,1.18363,0.95079,0.91275,0.95926,0.68013,1.08331,0.52468,1.42104,0.0002576,0.0002576,0.0002576
46,871.408,0.79667,0.41769,1.175,0.9401,0.94797,0.96374,0.67323,1.07632,0.49806,1.42311,0.000218,0.000218,0.000218
47,891.339,0.79401,0.40684,1.15663,0.95578,0.9428,0.96513,0.68332,1.07444,0.49199,1.41685,0.0001784,0.0001784,0.0001784
48,907.99,0.77965,0.39972,1.15439,0.95663,0.9094,0.95628,0.66827,1.09507,0.50247,1.45734,0.0001388,0.0001388,0.0001388
49,930.268,0.75642,0.39042,1.1423,0.93649,0.94966,0.96171,0.67098,1.0794,0.48614,1.42797,9.92e-05,9.92e-05,9.92e-05
50,946.946,0.75125,0.38787,1.14416,0.95222,0.93633,0.96539,0.67705,1.08353,0.48903,1.42761,5.96e-05,5.96e-05,5.96e-05
